threads,mean_wall_time,stddev_wall_time
1,0.02642425466668404,0.0018014149084759267
2,0.025365171330728725,0.0002531677822151491
4,0.027654817662551068,0.004404340420352467
6,0.033437716335659694,0.0069883828726680615
8,0.032985442332574166,0.003443124397185118
10,0.041038481334301956,0.016163706045829205
12,0.044553069999286286,0.018872143299367667
14,0.04223406966775656,0.013944958917782236
16,0.04225843133220527,0.018113101145958894
18,0.034033888334912867,0.004285210555014436
20,0.038923519001400564,0.012683067324819258
22,0.04524841833578345,0.021600506824323955
24,0.0389269336713672,0.011856374556116748
